player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Lee, Min Woo",150,0.941,0.000,25,0.031,-0.011,-0.181,0.165,-0.008,-0.003,0.055,-0.043,0.009,0.946,2.895,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hossler, Beau",150,0.971,0.000,28,0.016,-0.052,-0.018,0.013,0.044,-0.001,0.005,-0.055,-0.051,0.922,2.856,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Jaeger, Stephan",150,0.822,0.000,34,-0.009,-0.003,0.052,0.059,0.011,-0.001,0.020,-0.040,-0.021,0.910,2.816,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"List, Luke",150,0.775,0.000,39,-0.028,0.003,0.058,-0.045,0.071,-0.001,0.026,-0.008,0.016,0.849,2.858,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Mitchell, Keith",150,0.542,0.000,32,0.002,-0.037,0.131,0.155,0.064,-0.002,-0.012,-0.004,-0.017,0.840,2.827,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Kirk, Chris",150,0.676,0.000,38,-0.027,-0.056,-0.025,0.124,0.166,0.000,-0.024,-0.030,-0.054,0.804,2.849,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Straka, Sepp",150,0.816,0.000,30,0.008,0.015,-0.099,0.001,0.132,-0.000,-0.057,-0.022,-0.078,0.794,2.902,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Svensson, Adam",150,0.632,0.000,30,0.011,0.053,-0.040,0.116,0.046,-0.000,-0.053,-0.020,-0.073,0.745,2.858,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Bezuidenhout, Christiaan",150,0.859,0.000,29,0.012,-0.003,0.069,-0.138,0.011,0.001,-0.026,-0.063,-0.087,0.722,2.806,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"McCarthy, Denny",150,0.953,0.000,30,0.007,0.016,-0.053,-0.161,0.031,0.001,-0.024,-0.072,-0.095,0.698,2.838,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hoge, Tom",150,0.776,0.000,34,-0.009,-0.016,0.084,-0.109,-0.016,0.000,-0.002,-0.044,-0.045,0.666,2.878,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Ghim, Doug",150,0.494,0.000,27,0.021,-0.016,0.137,0.145,-0.037,0.000,-0.073,-0.016,-0.089,0.655,2.885,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
