datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Pendrith, Taylor",Taylor Pendrith,150,32905127,7800,26.924,1:13 PM,0,48.2,2.5,0,50.7,0.02,100,3.02531697,
"Olesen, Thorbjorn",Thorbjorn Olesen,150,32905129,7700,27.234,1:24 PM,0,50,2.8,0,52.8,0.26,100,5.640971492,
"Svensson, Adam",Adam Svensson,150,32905128,7700,27.964,12:29 PM,0,52.5,3.4,0,55.9,0.56,100,12.81363851,
"Todd, Brendon",Brendon Todd,150,32905130,7600,26.393,12:18 PM,0,48.3,2.5,0,50.8,0.1,100,4.54475956,
"Bezuidenhout, Christiaan",Christiaan Bezuidenhout,150,32905131,7600,27.398,11:45 AM,0,51.9,3.3,0,55.2,0.53,100,12.44969239,
"Fowler, Rickie",Rickie Fowler,150,32905132,7500,26.549,12:40 PM,0,47.7,2.4,0,50.2,0.07,100,7.083050727,
"Hubbard, Mark",Mark Hubbard,150,32905133,7500,27.092,7:07 AM,1,50.2,2.9,0,53.1,0.36,100,5.808110941,
"Van Rooyen, Erik",Erik Van Rooyen,150,32905134,7400,27.956,12:40 PM,0,51.9,3.3,0,55.1,0.59,100,6.079757157,
"Fox, Ryan",Ryan Fox,150,32905135,7400,26.758,11:45 AM,0,47.4,2.3,0,49.7,0.06,100,1.887779108,
"Montgomery, Taylor",Taylor Montgomery,150,32905137,7300,25.411,11:56 AM,0,45.2,1.9,0,47.1,-0.07,100,2.874480764,
"Hisatsune, Ryo",Ryo Hisatsune,150,32905136,7300,27.232,8:35 AM,1,49.1,2.7,0,51.8,0.3,100,4.163068561,
"Wallace, Matt",Matt Wallace,150,32905139,7200,26.682,7:18 AM,1,48.4,2.5,0,50.8,0.24,100,2.781486205,
"Schenk, Adam",Adam Schenk,150,32905138,7200,27.157,12:40 PM,0,50.6,3,0,53.6,0.51,100,4.44226886,
"Glover, Lucas",Lucas Glover,150,32905140,7100,27.129,12:29 PM,0,49.8,2.8,0,52.5,0.44,100,7.446704867,
"McNealy, Maverick",Maverick McNealy,150,32905141,7100,26.678,6:45 AM,1,48.1,2.5,0,50.6,0.26,100,7.367370071,
"Ghim, Doug",Doug Ghim,150,32905142,7000,27.989,8:02 AM,1,52.2,3.3,0,55.5,0.77,100,9.372817473,
"Horschel, Billy",Billy Horschel,150,32905143,7000,26.039,7:18 AM,1,46.6,2.1,0,48.7,0.1,100,0,
"Detry, Thomas",Thomas Detry,150,32905144,6900,27.599,8:02 AM,1,49.9,2.8,0,52.7,0.53,100,4.621586488,
"Bhatia, Akshay",Akshay Bhatia,150,32905145,6900,27.359,7:51 AM,1,50,2.8,0,52.9,0.55,100,8.113543557,
"Thompson, Davis",Davis Thompson,150,32905146,6800,27.386,7:07 AM,1,50.6,3,0,53.5,0.65,100,6.9228097,
"Suh, Justin",Justin Suh,150,32905148,6800,25.455,8:24 AM,1,44,1.8,0,45.8,-0.05,100,4.399498337,
"Griffin, Ben",Ben Griffin,150,32905147,6800,27.135,11:45 AM,0,48.9,2.6,0,51.5,0.45,100,6.667462384,
"Eckroat, Austin",Austin Eckroat,150,32905150,6700,26.774,6:56 AM,1,47.6,2.4,0,50.1,0.34,100,3.566635315,
"Hadley, Chesson",Chesson Hadley,150,32905151,6700,26.122,8:24 AM,1,45.7,2.2,0,47.8,0.12,100,2.632619442,
"Young, Carson",Carson Young,150,32905149,6700,26.685,1:13 PM,0,48.5,2.5,0,51,0.43,100,8.199733348,
"Wu, Brandon",Brandon Wu,150,32905154,6600,26.16,8:13 AM,1,46.8,2.2,0,49,0.27,100,5.374342932,
"Valimaki, Sami",Sami Valimaki,150,32905152,6600,26.283,8:24 AM,1,45.3,2,0,47.3,0.11,100,3.371114797,
"Hodges, Lee",Lee Hodges,150,32905157,6500,25.962,12:18 PM,0,46.2,2,0,48.2,0.23,100,6.369351764,
"Macintyre, Robert",Robert Macintyre,150,32905155,6500,25.152,1:35 PM,0,43.8,1.7,0,45.5,-0.02,100,4.439416215,
"Bjork, Alexander",Alexander Bjork,150,32905158,6500,25.144,8:46 AM,1,43.4,1.7,0,45.2,-0.03,100,1.722167616,
"Woodland, Gary",Gary Woodland,150,32905156,6500,26.296,12:29 PM,0,46,2.1,0,48.1,0.22,100,4.03654521,
"Yu, Kevin",Kevin Yu,150,32905161,6400,26.228,1:02 PM,0,46.5,2.1,0,48.6,0.31,100,2.19178672,
"Lower, Justin",Justin Lower,150,32905160,6400,25.873,1:02 PM,0,46.1,2.2,0,48.3,0.27,100,4.051629852,
"Kim, Michael",Michael Kim,150,32905162,6400,26.667,8:02 AM,1,47.9,2.4,0,50.4,0.48,100,2.954603828,
