"ID","Player","Team","Position","RkOv","Status","FPts","FP/G","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","TP","Oth","Plc"
"*03el0*","Brian Agee","null","null","388","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*040cw*","Jonathan Agren","null","null","389","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05a2e*","Camilo Aguado","null","null","390","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o4a*","Carlos Aguilar","null","null","391","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01opp*","Felipe Aguilar","null","null","392","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05aef*","Veer Ahlawat","null","null","393","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01ops*","Jaco Ahlers","null","null","394","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01opv*","Antti Ahokas","null","null","395","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01opw*","Thomas Aiken","null","null","396","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03ca8*","Neal Ajubita","null","null","397","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0680c*","Blaze Akana","null","null","370","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o4b*","Bjorn Akesson","null","null","398","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04koy*","Shota Akiyoshi","null","null","399","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*050yc*","Mikiya Akutsu","null","null","400","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04054*","Anders Albertson","null","null","401","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04z2o*","Max Albertus","null","null","402","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01oq8*","Tyler Aldridge","null","null","403","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01oqb*","Lonny Alexander","null","null","404","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05yi7*","Ryan Alford","null","null","405","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02oh1*","Steven Alker","null","null","406","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*059vv*","James Allan","null","null","407","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01oqi*","Steve Allan","null","null","408","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01oqj*","Fulton Allem","null","null","409","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*061hy*","Josh Allen","null","null","410","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01oqn*","Michael Allen","null","null","411","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*050yr*","James Allenby","null","null","412","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01oqp*","Robert Allenby","null","null","413","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01oqr*","Jason Allred","null","null","414","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*029fg*","Benjamin Alvarado","null","null","415","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o4c*","Oscar Alvarez","null","null","416","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01oqz*","Max Alverio","null","null","417","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06c3k*","Bastien Amat","null","null","418","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04dog*","Oskar Ambrosius","null","null","419","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01or2*","Stephen Ames","null","null","420","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06awv*","Paresh Amin","null","null","421","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
